compound name,smiles,[-CH3],[-CH2-],[>CH-],[>C<],(-CH2-)R,(>CH-)R,(>C<)R,[=CH2],[=CH-],[=C<],(=CH-)R,(=C<)R,aCHa,saCa,aaCa,[-OH](alcohol),[-OH](phenol),[-O-],(-O-)R,[>C=O],(>C=O)R,[-CHO],[-COO-],[-COOH],FP,MW
cis-2-hexene,C/C=C\CCC,35.7143,33.3333,0,0,0,0,0,0,30.9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,84
allylcyclohexane,C=CCC1CCCCC1,0,11.2903,0,0,56.4516,10.4839,0,11.2903,10.4839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,124
"2,5-dimethylhexane",CC(C)CCC(C)C,52.6316,24.5614,22.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,114
"2,4,6-trimethylheptane",CC(C)CC(C)CC(C)C,52.8169,19.7183,27.4648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,142
"3,3-dimethylpentane",CCC(C)(C)CC,60,28,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,100
cis-3-hexene,CC/C=C\CC,35.7143,33.3333,0,0,0,0,0,0,30.9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,84
"1,1-dimethylcyclohexane",CC1(C)CCCCC1,26.7857,0,0,0,62.5,0,10.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,112
2-propenylcyclopentane,CC=CC1CCCC1,13.6364,0,0,0,50.9091,11.8182,0,0,23.6364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,110
cis-2-heptene,C/C=C\CCCC,30.6122,42.8571,0,0,0,0,0,0,26.5306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,98
"3-methyl-1,3-pentadiene",C=CC(C)=CC,36.5854,0,0,0,0,0,0,17.0732,31.7073,14.6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,82
1-pentene,C=CCCC,21.4286,40,0,0,0,0,0,20,18.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,70
"2,2,3,4-tetramethylpentane",CC(C)C(C)C(C)(C)C,70.3125,0,20.3125,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,128
3-ethylpentane,CCC(CC)CC,45,42,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,100
"2,2,4,4-tetramethylpentane",CC(C)(C)CC(C)(C)C,70.3125,10.9375,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,128
"2,2-dimethyloctane",CCCCCCC(C)(C)C,42.2535,49.2958,0,8.4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,142
"2,2,3-trimethylhexane",CCCC(C)C(C)(C)C,58.5938,21.875,10.1562,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,128
"2,2,3-trimethylpentane",CCC(C)C(C)(C)C,65.7895,12.2807,11.4035,10.5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,114
"3-ethyl-2,2-dimethylpentane",CCC(CC)C(C)(C)C,58.5938,21.875,10.1562,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,128
n-butylcyclohexane,CCCCC1CCCCC1,10.7143,30,0,0,50,9.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,140
"2,3,3,4-tetramethylhexane",CCC(C)C(C)(C)C(C)C,63.3803,9.8592,18.3099,8.4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,142
1-decene,C=CCCCCCCCC,10.7143,70,0,0,0,0,0,10,9.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,140
3-methyloctane,CCCCCC(C)CC,35.1562,54.6875,10.1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,128
1-undecene,C=CCCCCCCCCC,9.7403,72.7273,0,0,0,0,0,9.0909,8.4416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,154
3-ethyl-3-methylpentane,CCC(C)(CC)CC,52.6316,36.8421,0,10.5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,114
"2,3-dimethyloctane",CCCCCC(C)C(C)C,42.2535,39.4366,18.3099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,142
3-ethyl-3-methylheptane,CCCCC(C)(CC)CC,42.2535,49.2958,0,8.4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,142
(2-methylbutyl)benzene,CCC(C)Cc1ccccc1,20.2703,18.9189,8.7838,0,0,0,0,0,0,0,0,0,43.9189,8.1081,0,0,0,0,0,0,0,0,0,0,337,148
"2,3-dimethylheptane",CCCCC(C)C(C)C,46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,128
3-methylcyclohexene,CC1C=CCCC1,15.625,0,0,0,43.75,13.5417,0,0,0,0,27.0833,0,0,0,0,0,0,0,0,0,0,0,0,0,270,96
"3,3-diethylpentane",CCC(CC)(CC)CC,46.875,43.75,0,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,128
cumene,CC(C)c1ccccc1,25,0,10.8333,0,0,0,0,0,0,0,0,0,54.1667,10,0,0,0,0,0,0,0,0,0,0,304,120
"1,4-hexadiene",C=CCC=CC,18.2927,17.0732,0,0,0,0,0,17.0732,47.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,82
"2,2,3-trimethylbutane",CC(C)C(C)(C)C,75,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,100
benzene,c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,262,78
"3,4-dimethylhexane",CCC(C)C(C)CC,52.6316,24.5614,22.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,114
2-methyl-2-heptene,CCCCC=C(C)C,40.1786,37.5,0,0,0,0,0,0,11.6071,10.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,112
"4,4-dimethyl-1-pentene",C=CCC(C)(C)C,45.9184,14.2857,0,12.2449,0,0,0,14.2857,13.2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,98
"2,4-dimethylpentane",CC(C)CC(C)C,60,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,100
"1,8-nonadiene",C=CCCCCCC=C,0,56.4516,0,0,0,0,0,22.5806,20.9677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,124
"1,4-cyclohexadiene",C1=CCC=CC1,0,0,0,0,35,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,262,80
4-methylnonane,CCCCCC(C)CCC,31.6901,59.1549,9.1549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,142
"3,3,4,4-tetramethylhexane",CCC(C)(C)C(C)(C)CC,63.3803,19.7183,0,16.9014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,142
n-butylbenzene,CCCCc1ccccc1,11.194,31.3433,0,0,0,0,0,0,0,0,0,0,48.5075,8.9552,0,0,0,0,0,0,0,0,0,0,323,134
"1,6-heptadiene",C=CCCCC=C,0,43.75,0,0,0,0,0,29.1667,27.0833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,96
cis-4-methyl-2-pentene,C/C=C\C(C)C,53.5714,0,15.4762,0,0,0,0,0,30.9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,84
"3,3-dimethylhexane",CCCC(C)(C)CC,52.6316,36.8421,0,10.5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,114
"2,3-dimethyl-1,3-butadiene",C=C(C)C(=C)C,36.5854,0,0,0,0,0,0,34.1463,0,29.2683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,82
"trans-1,2-dimethylcyclohexane",C[C@@H]1CCCC[C@H]1C,26.7857,0,0,0,50,23.2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,112
trans-2-hexene,C/C=C/CCC,35.7143,33.3333,0,0,0,0,0,0,30.9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,84
1-tetradecene,C=CCCCCCCCCCCCC,7.6531,78.5714,0,0,0,0,0,7.1429,6.6327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,196
